term,2014-10-15,2014-10-22,2014-10-01,2014-10-08
allvoicesapp,1,2,0,4
allys_sons,1,1,0,1
allyship,0,2,1,1
alma,0,1,4,4
aloveken,2,0,2,1
alpena,0,3,1,2
alphabet,2,3,0,1
alter,2,6,0,5
alternate,12,5,0,5
alton,0,1,1,4
alveda,1,6,0,1
alvedaking,3,27,0,1
alyssa,1,0,2,1
am3ricachang3d,27,54,0,1
amadou,1,0,1,3
amadoudiallo,0,4,2,6
amandawills,1,0,1,22
amazing32582,1,1,0,1
amazingly,4,2,0,5
amazoncart,2,0,2,1
ambassador,0,3,94,19
amber,1,1,0,4
ambulances,1,2,0,1
amcık,1,1,0,1
americanflag,1,1,0,4
americanthinker,2,3,0,2
americausa1776,1,0,1,4
amerycanrebel,4,2,0,1
amidst,1,0,3,2
amirite,2,0,2,1
amishobaraka,0,1,2,1
ammendment,0,2,1,2
ampat,1,2,0,2
amped,4,1,0,3
amplifies,1,1,1,0
ampowerblog,1,1,0,1
amreading,0,1,1,1
amuck,0,1,2,3
amusement,0,1,1,3
amy,0,11,12,9
amyknelson,0,1,10,1
ana,1,0,1,2
anaespinal89,2,2,0,3
anakasparian,0,3,2,2
analogous,1,1,0,1
analyses,1,1,0,2
anan_vii,0,11,1,4
anansithegriot,7,2,2,0
anarchistannie,1,6,2,0
anatomy,56,5,0,453
ancient,0,7,1,4
andreatantaros,0,1,3,2
andrerucker51,0,1,2,3
andrewarlink,2,2,1,0
androidg,5,6,7,0
ands,2,2,0,1
andybankertv,0,3,3,3
andydiiaz1,2,0,4,4
andyrose12,2,0,6,1
anfield,0,6,1,1
angela_rye,0,5,1,1
angelamjansen,1,2,0,1
angelawilliams,0,1,2,3
angelic,2,0,1,4
angrier,0,2,1,2
angrily,1,14,0,9
angrycbrown,5,3,0,1
anguish,1,4,0,1
angus,3,1,1,0
animated,0,3,3,2
anime,0,1,1,3
animosity,1,7,0,3
anita,3,1,0,4
anitaabish73,1,0,2,1
anitastewart,2,3,0,1
ankles,31,2,0,19
anna,2,8,6,0
anna_baltzer,1,0,2,4
annehillebrand2,3,2,5,0
annoys,0,2,2,5
anon99percenter,3,5,3,0
anon_stomp,1,0,17,32
anon_subzero99,2,0,7,1
anonferg,3,1,1,0
anonmohandas,2,0,1,2
anonymiss88,3,1,0,2
anonymously,1,3,0,7
anonymousvideo,3,2,4,0
anonyops,1,1,0,1
ans2014,0,1,6,4
ant,3,5,1,0
antagonistic,2,2,0,3
antarctica,2,7,1,0
anthology,0,2,2,1
anthonydavis76,1,1,0,1
anthropology,0,1,2,1
anthxeria,0,1,1,2
anti_liberal73,1,1,0,2
antiblackness,0,1,4,4
anticipated,2,2,0,6
anticipating,0,2,2,7
antics,5,15,0,8
antidote,1,0,1,4
antifa,0,1,2,2
antiquated,327,39,1,0
antiracism,2,0,2,2
antiracist,0,1,1,1
antisemitic,0,4,6,2
antisemitism,1,1,2,0
antizionism,1,5,0,4
antoniobuehler,5,0,1,10
anyones,0,2,1,1
ao,1,0,1,2
ao2k,1,16,0,13
apa1906network,0,1,1,4
apache,1,2,0,1
apartments,26,0,4,32
apd,3,3,1,0
ape,2,6,0,4
apes,9,4,0,15
aplmom,1,3,0,3
apocalypse,5,1,0,6
apocalyptic,1,0,8,2
apologise,0,2,1,1
apologized,0,4,6,3
appalachia,1,1,0,6
apparantly,1,0,1,1
appearances,3,1,0,2
appease,0,1,2,2
appena,2,1,0,1
applauding,3,4,0,3
appleton,1,5,2,0
applicants,1,0,2,2
appoints,3,1,0,1
appreciation,5,1,0,10
apprehended,3,1,0,4
appropriating,0,2,1,1
approval,2,0,3,7
approves,4,1,0,4
approving,2,0,1,1
approx,0,4,4,6
approximately,1,0,6,2
apts,15,1,0,39
arabsex,1,1,0,1
arabspring,0,5,1,2
arbitrarily,0,1,1,5
arbitrary,0,2,2,13
arc,1,0,7,2
arcadia,1,0,1,3
archbishop,2,1,0,10
archie,1,1,0,1
architect,1,0,2,1
architects,1,1,0,1
archivio,2,0,1,1
archstl,0,1,1,4
arcticfox2016,2,2,0,1
areacode612,1,3,0,1
arena,4,0,3,30
arenas,0,2,1,2
aresst,1,1,0,1
argreene,5,4,0,4
ari,1,0,1,1
aridavidusa,1,1,1,0
arielmandingo,0,3,4,1
arising,1,2,0,1
ark,0,4,6,3
arkansawmimi,4,3,0,4
armband,1,0,2,1
arming,0,5,9,7
armonte,4,5,0,2
armoured,4,1,0,2
armpits,3,1,1,0
armstrong,0,5,4,1
arnd,2,1,0,1
aroadwarrior1,5,20,0,4
arpx,1,2,0,2
arquette,1,0,2,1
arre,1,0,14,1
arres,5,0,2,8
arrestable,1,0,1,2
arrestd,9,1,0,10
arrestdarrinwilson,1,2,0,1
arrow,0,2,1,3
arsed,1,0,1,2
arsonists,2,6,0,3
arsène,0,4,1,2
artifacts,1,0,1,2
artificial,1,0,1,2
artistic,0,1,4,1
artistsneedmarketingtoo,0,1,3,1
aryan,1,1,1,0
asa,2,0,1,1
asapferg,4,1,0,1
asf,2,3,0,8
ashes,0,4,1,6
ashleighthelion,19,0,12,20
ashoncrawley,3,0,1,1
asid,1,1,0,1
asinine,4,3,0,1
askdiddy,2,1,0,2
asphalt,1,2,0,3
aspire,1,0,1,1
assad,1,3,0,7
assassinate,0,3,1,1
assassinated,0,6,4,5
assassinations,2,0,1,9
assclowns,2,2,0,1
assed,2,3,1,0
assembling,0,2,1,2
asserting,2,1,0,3
assertion,2,2,0,2
asserts,0,2,1,1
assesses,1,1,0,39
assessment,0,2,3,3
asshat,2,2,2,0
asshattery,2,1,0,1
assisting,0,1,3,2
asso,0,1,1,1
associating,0,1,1,1
assults,1,1,0,1
assumes,1,3,0,6
assured,1,0,3,2
astate,1,1,1,0
astonishing,4,0,1,4
astorix23,1,1,0,1
astounded,2,1,2,0
astounding,0,5,6,6
astronaut,5,2,0,14
astronglady,9,3,1,0
asu,0,2,2,1
aswell,2,0,3,2
atheist,0,4,2,5
atheists,0,5,1,1
athlone,1,12,0,1
atkinson,0,3,5,2
atlas,2,1,99,0
atonement,1,0,1,1
atrocious,1,0,3,1
att,0,6,7,1
attackers,3,3,0,2
attaphia,8,3,0,1
atten,2,1,1,0
attendees,1,0,12,9
attentionwhore,1,0,1,1
attest,1,2,0,1
atticascott,1,0,1,1
attire,2,0,1,3
attny,1,1,0,2
attracted,2,0,1,4
attracts,1,3,3,0
aturah,0,1,3,3
atx,2,1,2,0
auditions,0,1,4,1
auditor,2,0,17,3
auditorium,0,10,2,1
audrey,1,2,0,2
aug9,3,1,0,1
aurielebonie,0,1,1,1
aurora,0,2,2,2
austinchanning,6,2,0,6
austinmccoy3,4,2,0,1
auth,0,1,1,2
authenticity,1,2,0,7
authors,0,1,2,1
autofollowback,1,1,0,7
autographed,2,2,0,3
autographs,1,0,1,1
avengers,0,44,1,1
averagejo44,2,12,0,24
averaging,0,2,1,1
avery,2,3,0,4
avoids,1,0,1,1
awaited,22,1,0,12
awnn,2,1,0,6
ay,1,1,0,4
ayy,1,1,0,1
azgın,1,1,0,1
b2community,3,6,1,0
b4uvote,1,1,1,0
b78real,1,4,0,1
ba,3,2,0,1
baba,4,0,8,3
babylon,1,0,1,1
babysitting,0,2,4,1
bac,0,2,1,2
baca,0,2,1,1
backbone,2,1,0,4
backfield,2,0,2,1
backfire,1,6,0,1
backfired,37,1,1,0
backstorymom1,1,0,1,2
backward,0,7,1,6
backwoods,2,2,3,0
badcops,2,0,1,5
badhipppie,1,0,1,1
baelightyear,5,1,0,1
baffled,2,5,0,4
baffling,2,2,1,0
baggage,1,1,0,2
baggas,1,1,1,0
bagging,0,1,1,1
baggy,1,3,0,3
baghdad,3,1,0,3
bah,1,2,0,2
bahaha,2,2,1,0
bahahaha,1,1,1,0
bahrain,5,1,0,8
bailing,1,0,1,3
bak,1,0,1,2
bakari45,10,4,0,5
bake,1,1,0,1
bakehouse,1,1,1,0
bakery,1,4,2,0
baking,1,1,0,1
balances,2,3,0,1
bald,0,1,3,3
baldwi,1,0,2,1
baller,1,0,1,3
balling,1,0,3,2
ballislife,1,2,0,9
ballistic,3,2,0,7
balloon,3,3,2,0
balloons,3,1,0,2
ballpark,2,0,9,11
ballsy,1,2,1,0
ballymenaunited,1,3,1,0
baloney,2,0,1,1
balotelli,7,4,2,0
bamaslymm,0,1,1,3
bambuser,0,1,33,4
bandanas,0,1,1,2
bangor,1,0,1,1
banjo,0,1,2,1
banker,2,0,2,1
bankruptcy,3,0,3,1
banksy,1,1,0,2
bannerite,1,6,4,0
banning,2,2,0,2
banquet,3,1,1,0
banthebox,1,0,2,1
baptized,1,1,1,0
baraseen,2,3,1,0
barbara,3,1,0,1
barbaric,0,2,2,4
barbecue,32,6,0,1
barbs73,0,1,6,7
barca,1,3,4,0
barclays,0,2,1,1
bargained,1,3,1,0
barking,3,2,0,7
barkley,2,33,1,0
barn,0,7,6,8
barnes,1,0,1,2
barnett,1,0,1,1
barrack,1,4,2,0
barrage,4,1,1,0
barred,8,0,77,2
barrett,3,3,0,10
barricade,1,10,0,4
barricades,0,16,1,15
barrier,0,1,3,1
barriers,3,3,10,0
bart,1,6,0,1
bashertroll05,4,1,2,0
basictatiana,2,0,1,3
bastion,0,1,1,1
bathrooms,3,1,0,3
bats,2,3,0,2
batshit,2,1,0,4
batter,2,0,1,2
battered,1,0,1,1
batting,1,0,3,2
battle4freedomx,1,2,0,1
bball,1,1,1,0
bbbuuttt,3,3,0,1
bbc606,1,1,1,0
bbcbreaking,5,2,0,8
bbcfootball,2,1,0,4
bbcnews,3,0,2,18
bbcnewsus,2,0,1,3
bbcsportscot,1,1,1,0
bbcsportsound,1,0,2,1
bbcusa173,5,2,1,0
bbl,1,1,4,0
bbqs,1,0,1,1
bbrucew12,2,0,3,3
bccandles,1,2,0,5
bcfc,3,2,1,0
bcs,0,1,1,1
bcz,3,1,2,0
bd,1,0,2,2
beacon,3,5,0,1
beaconpressbks,1,0,1,2
beam,1,0,1,8
bean,4,5,0,2
beanfrompa,1,3,0,5
beans,2,0,2,7
bearable,0,1,1,1
bearcat,2,3,0,5
beardedgenius,1,0,1,1
beasts,2,6,0,1
beatdown,1,1,0,2
beater,0,1,1,3
beatin,1,2,1,0
beatles,1,1,0,1
becareful,0,1,1,4
becaue,1,0,1,1
becker,1,0,2,1
becketadams,2,1,1,0
becky,1,3,0,2
beds,2,2,0,2
bee,8,7,0,10
beers,2,0,1,3
bees,0,1,1,1
beesayspolitics,1,0,2,3
begets,2,5,0,3
beggars,4,0,1,3
begged,3,4,0,3
beheader,1,0,2,3
beheads,1,1,3,0
behold,2,1,0,2
beige,1,0,1,1
belalmd12,1,2,1,0
belgium,0,2,1,1
believer,0,1,1,2
belittle,1,2,0,1
belittles,1,1,1,0
bellabentley23,1,0,2,2
bellas,0,3,1,2
belle,1,0,2,1
belleville,1,3,0,2
bellevue,2,1,0,1
belligerent,1,2,1,0
bells,3,1,0,1
belonged,4,1,0,2
belonging,4,1,0,1
belts,1,5,0,2
benaffleck,0,1,1,2
bending,2,0,2,1
bends,1,0,5,1
beneath,5,0,1,3
benedict,0,1,1,1
beneficial,1,3,2,0
benefited,1,2,1,0
benefiting,0,1,1,1
benfergusonshow,7,2,3,0
bengazi,2,1,2,0
benhowe,9,2,0,1
benjaminhboyd,4,0,1,30
bennett,1,0,2,1
benshapiro,2,3,0,1
bep,3,1,1,0
bernard,3,4,0,4
berrykingin,1,2,0,2
bes,0,1,1,1
bestest,0,2,1,2
bestfansstlouis,5,0,29,4
bet365,1,1,0,1
betcha,0,2,3,1
bethiphopawards,118,2,0,2
betray,2,0,2,7
betrayal,2,3,0,6
bettinavla,6,0,1,17
betwn,1,1,0,1
beverages,0,1,1,1
bey,3,0,1,12
beyoncé,4,0,2,5
beyondferguson,3,2,0,1
bgyrl4life,2,1,0,2
bheard,1,0,2,4
bi_contributors,0,3,1,1
biasbustersofks,1,1,0,2
bich,0,3,1,2
bicycle,0,1,2,5
bidding,0,1,1,3
big_red_456,0,1,1,7
bigbrother,1,2,0,1
bigbull45,2,0,7,1
bigdogsave,1,25,0,4
bigfoot,1,1,0,2
biggerthanferguson,1,1,0,3
biglugg77,1,1,2,0
bigmamamorrison,0,5,7,3
bigmike,0,2,1,1
bikers,1,0,2,1
billboards,3,2,1,0
billburton,1,1,0,4
billclinton,0,3,5,3
billeniumbeach,1,4,0,1
billhemmer,1,1,0,2
billofrights,2,0,3,10
bimmerella,1,0,5,3
bing,4,4,0,3
biology,1,0,1,2
bios,0,1,1,2
bipartisan,20,3,0,1
biracial,1,1,0,1
birdy,2,2,0,2
birthdays,9,1,0,3
birthed,3,1,1,0
biting,2,8,0,5
bittersweet,1,0,1,2
bizpac,6,6,0,3
bizzy,1,0,1,4
bla,0,4,2,2
blac,1,0,1,37
blacc,1,0,1,2
blackamericans,3,2,0,1
blackamericaweb,3,0,1,6
blackbabies,0,47,1,1
blackcommunity,3,1,0,3
blackcrime,1,0,10,2
blackculture,1,1,0,4
blacked,2,0,1,1
blackempowerment,2,7,0,7
blackfreethinkers,0,7,2,1
blackgirlinmain,7,0,1,2
blackhistorymonth,2,0,3,2
blackinformant,0,1,3,4
blackink12,0,3,2,3
blackirishi,1,1,0,3
blackisbeautiful,1,1,0,3
blackkings,2,1,0,2
blackleaders,2,1,0,2
blacklives,2,2,0,6
blacklove,0,1,1,6
blackmail,3,1,3,0
blackmenmatter,1,2,0,2
blackpanthers,0,8,4,8
blackpropheticfire,0,1,2,1
blackracist,5,1,0,2
blacktalkradio,1,0,1,7
blacktastic_,6,1,0,3
blackteen,1,1,0,4
blackwallstreet,0,1,2,2
blackwomenvote,0,1,6,2
blankspacestl,1,6,0,2
blasted,0,16,3,6
blax,0,1,1,1
blaze,4,74,0,1
blazingcatfur,2,0,1,2
bleacherreport,1,3,0,4
bled,2,1,0,2
blieve,1,2,0,2
blinded,4,7,0,12
blindness,2,2,3,0
blip,1,3,1,0
blissfully,0,1,2,2
blitzer,0,2,1,5
blkmillennials,1,0,1,4
blkwestchesterm,0,1,2,5
bloc,0,3,4,1
blockade,3,8,0,7
blocktheboat,5,13,0,6
blogged,0,1,1,1
blogging,0,3,4,2
blogpost,0,1,1,1
blogtalkradio,3,2,10,0
blokes,2,1,0,1
blonde,6,3,7,0
bloodbath,1,1,0,5
bloom,5,3,1,0
blooper,1,5,1,0
blowback,1,2,2,0
blower,0,1,1,1
blowout,1,2,0,2
blu,1,1,0,1
blueeyeddevil,1,2,0,1
bluenationuntd,2,2,1,0
blueprint,1,0,1,3
blurbette,0,1,1,1
blythebernhard,0,18,7,4
bmlewis2,7,2,2,0
bnews,1,1,0,6
bntheloop,1,0,1,4
boarded,0,3,1,3
boarding,0,9,1,2
boasted,1,1,1,0
boasts,2,2,0,1
boats,1,1,1,0
boazziz,1,1,1,0
bob_owens,11,3,0,3
bobble,1,1,0,1
bobg231,0,5,1,4
bobmccullough,1,1,0,5
bodezkul,0,2,1,2
bodycam,1,2,1,0
bodycameras,0,2,1,1
boehner,1,6,0,1
bohosouthern,2,3,0,3
boil,2,4,4,0
boiler,1,0,10,4
boldness,1,0,1,1
bolt,1,2,2,0
bombarded,1,1,0,1
bomber,1,2,0,1
bombers,0,1,1,2
bombshell,71,38,3,0
bonded,1,2,2,0
bonding,3,0,1,1
boner4tuna,1,1,0,1
bonfire,2,1,1,0
bonkers,1,0,1,1
bonnet,1,0,2,1
bonnie,1,2,0,1
bono,0,2,2,1
boohoo,0,2,2,1
booing,0,1,1,9
booking,1,2,0,2
bookmark,0,1,2,2
bookstore,0,4,13,18
boomers,0,1,1,1
boondocks,1,0,2,1
boone,2,0,3,3
boonies,1,1,1,0
boosted,0,1,1,1
boosting,0,2,1,2
booths,0,3,4,1
booting,2,0,1,1
booty,0,3,7,7
bordeaux,0,1,3,1
bore,1,0,2,5
borrow,1,1,0,2
bos,10,0,1,1
bosman,9,2,48,0
bosses,4,2,0,4
bostonglobe,2,0,6,5
bot,1,1,2,0
botha,1,1,1,0
boucherkc,2,0,3,4
bounced,2,2,2,0
boundary,1,0,2,1
bounds,0,3,2,7
bourgeois,3,0,1,1
bouta,1,1,0,2
boutta,1,1,0,4
bowling,1,1,3,0
bown,2,0,1,1
bows,1,0,1,1
boxes,0,1,7,3
boxing,3,1,0,1
boycotted,2,0,3,4
boycottwalmart,34,3,0,6
boyd,1,0,5,2
bpii_,3,5,0,1
bpp,1,0,1,1
bpusa,1,1,3,0
br_uk,12,1,0,2
braced,1,0,1,4
bracken,3,1,0,5
brackets,1,3,1,0
bradleyrayford,1,0,1,1
brag,0,3,4,5
brah,5,0,1,7
brainless,2,4,0,2
brainnevasleeps,9,3,0,2
brainstorm,1,0,1,1
brake,0,1,2,1
brakes,1,0,1,1
brampton,2,1,0,1
branded,1,15,3,0
branding,0,2,2,3
brandonellingson,1,1,0,1
branson,2,0,2,6
braun,0,1,1,2
braveconwarrior,1,1,1,0
bravely,1,0,1,3
brazen,2,2,1,0
breaches,1,1,1,0
breakfastclubam,0,1,2,2
breastcancerawareness,2,1,2,0
breeds,2,0,2,2
breenewsome,7,0,161,42
breh,1,3,0,2
breitbartconvo,2,15,0,1
breitbartvideo,1,1,1,0
brenboo1,1,4,1,0
brennan,1,0,1,1
brentwood,0,3,3,1
brewer,6,2,0,3
brewery,0,1,1,2
brfootball,2,0,1,1
brianstelter,4,3,3,0
bribery,2,1,1,0
bricks,2,4,0,4
brickshaw,3,1,0,1
bridges,0,2,3,6
bridging,7,1,2,0
briggs,0,2,19,1
bringin,6,0,1,2
brining,2,1,0,3
brios82,0,4,19,1
bristolpost,0,2,1,1
brit,2,3,0,2
britains,1,0,3,2
brittanynoble,7,0,6,17
brittney,1,2,3,0
broader,3,2,0,6
broccoli,2,0,1,1
brochure,3,6,0,1
brontyman,1,1,1,0
bronze,2,0,2,1
brooke,2,2,1,0
brotherhood,0,3,3,4
brotoro,4,0,9,2
browne,4,3,0,2
brownglucose,3,5,0,10
brownie,2,1,0,2
browser,3,0,1,1
brrreaking_news,30,21,0,38
bruhh,2,1,0,2
bruins,1,0,1,3
brunt,2,1,0,4
brutalizing,0,5,6,7
brute,0,1,2,2
bryce1976,0,5,4,2
bsu,0,2,1,6
btc,0,1,1,2
bts,1,0,1,1
bubblews,2,0,1,2
buckle,2,0,5,1
